IPK,Skor_Motivasi_Tertulis,Skor_Literasi_Finansial,Surat_Rekomendasi,Aktif_Organisasi,Jumlah_Kegiatan_Relawan,Skor_Keaktifan_Kampus,Rekam_Ketidakhadiran,Semester,Status_Kelayakan,Kategori_Ekonomi,Skor_Performa_Dinamis
3.23,74,13,Tidak,Ya,2,54,18,5,0,Rentan,63.25
3.08,71,81,Ada,Tidak,0,81,3,5,0,Stabil,62.39999999999999
3.79,96,31,Tidak,Ya,3,65,2,8,0,Stabil,75.85
2.99,88,62,Tidak,Ya,2,83,6,8,0,Stabil,65.45
2.88,87,45,Tidak,Ya,1,85,16,4,0,Stabil,62.199999999999996
3.0,63,12,Tidak,Tidak,5,96,18,8,0,Rentan,74.2
3.24,94,61,Ada,Ya,0,56,0,4,1,Rentan,59.800000000000004
3.59,93,31,Ada,Ya,0,59,18,6,1,Rentan,65.65
3.04,53,20,Ada,Tidak,2,90,6,7,0,Stabil,67.6
2.61,95,54,Tidak,Ya,0,54,7,4,0,Rentan,49.95
3.04,86,34,Tidak,Tidak,4,57,14,2,0,Rentan,65.0
3.08,86,60,Ada,Ya,1,86,1,8,1,Rentan,65.39999999999999
3.95,60,97,Tidak,Ya,2,94,15,8,0,Stabil,82.05
3.27,84,80,Tidak,Tidak,0,53,6,1,0,Rentan,59.65
2.43,88,11,Ada,Ya,0,69,17,8,0,Stabil,50.25
3.19,80,76,Tidak,Ya,5,79,17,4,1,Rentan,73.65
3.22,87,70,Tidak,Ya,2,78,17,3,0,Stabil,67.9
4.0,97,4,Tidak,Tidak,3,74,20,7,0,Rentan,80.8
3.12,54,42,Tidak,Ya,5,71,19,3,0,Stabil,71.0
3.32,64,56,Ada,Ya,5,56,20,7,0,Stabil,71.0
3.66,86,79,Ada,Ya,1,61,2,3,1,Rentan,69.1
3.5,79,81,Tidak,Ya,0,54,14,4,1,Rentan,63.3
3.76,94,77,Tidak,Ya,4,92,12,5,1,Rentan,82.8
3.76,93,4,Ada,Tidak,5,90,20,5,0,Stabil,84.4
3.88,73,95,Tidak,Ya,4,66,15,6,1,Stabil,79.39999999999999
3.55,100,86,Tidak,Tidak,4,66,17,2,1,Rentan,74.45
2.78,89,83,Ada,Tidak,4,90,14,5,0,Stabil,67.69999999999999
3.39,73,78,Tidak,Tidak,1,76,20,7,0,Rentan,68.05
2.89,73,58,Tidak,Tidak,0,75,8,7,0,Stabil,58.35
3.07,98,35,Ada,Tidak,1,64,10,2,1,Rentan,60.849999999999994
2.56,51,95,Ada,Tidak,1,53,4,3,0,Rentan,51.0
3.27,100,51,Tidak,Ya,4,91,0,2,0,Stabil,75.25
3.72,87,12,Tidak,Ya,2,88,16,7,1,Stabil,77.4
2.85,92,11,Tidak,Tidak,2,59,15,2,0,Rentan,58.55
3.29,57,36,Tidak,Tidak,4,92,13,7,0,Stabil,75.75
3.54,73,77,Ada,Tidak,2,86,7,5,0,Stabil,74.3
3.27,59,58,Ada,Ya,5,97,16,5,1,Stabil,78.45
2.71,53,53,Ada,Ya,1,78,13,3,0,Stabil,58.25
3.66,69,38,Ada,Tidak,3,75,19,5,1,Rentan,75.9
2.87,82,9,Tidak,Ya,4,75,1,3,0,Rentan,66.05
2.65,94,67,Tidak,Ya,4,77,3,6,0,Stabil,63.15
2.89,99,13,Tidak,Tidak,4,96,20,2,0,Stabil,70.55000000000001
3.68,86,60,Tidak,Tidak,3,90,10,3,0,Rentan,79.19999999999999
3.42,68,74,Ada,Ya,0,89,19,8,1,Rentan,69.1
2.81,71,67,Ada,Tidak,3,52,7,1,0,Rentan,58.55
3.59,54,42,Tidak,Ya,5,85,12,3,0,Stabil,80.85
3.11,74,65,Tidak,Ya,0,92,16,2,0,Stabil,65.05
3.49,100,76,Ada,Tidak,1,92,10,6,1,Rentan,72.75
2.86,89,24,Tidak,Tidak,1,64,17,3,0,Rentan,57.7
2.59,58,91,Tidak,Tidak,1,91,15,6,0,Stabil,59.05
3.48,72,49,Ada,Ya,1,53,12,2,0,Rentan,64.8
3.24,80,2,Ada,Ya,0,78,19,2,0,Stabil,64.2
3.62,53,63,Ada,Tidak,1,90,19,5,0,Stabil,74.3
3.22,55,49,Tidak,Ya,1,83,17,1,0,Stabil,66.9
3.56,90,82,Ada,Ya,1,58,1,8,1,Stabil,67.0
2.96,70,36,Tidak,Ya,1,84,15,8,0,Rentan,63.2
3.58,74,10,Tidak,Ya,3,81,15,6,0,Stabil,75.89999999999999
3.46,88,93,Tidak,Ya,2,94,14,7,1,Rentan,74.7
3.01,51,46,Ada,Ya,5,52,4,7,1,Rentan,65.55
3.23,67,71,Ada,Ya,3,51,5,1,0,Stabil,64.65
3.03,54,85,Tidak,Tidak,1,95,14,2,0,Stabil,66.44999999999999
3.23,82,3,Ada,Tidak,1,62,4,6,0,Stabil,62.849999999999994
3.23,83,82,Tidak,Ya,5,86,2,6,0,Stabil,75.64999999999999
2.77,53,44,Ada,Ya,1,69,5,2,0,Stabil,57.349999999999994
3.22,87,72,Ada,Ya,4,92,19,5,1,Stabil,74.7
2.94,84,38,Tidak,Tidak,3,80,7,1,0,Rentan,66.1
3.62,95,40,Tidak,Ya,1,75,4,8,0,Rentan,71.3
2.95,60,63,Tidak,Tidak,4,62,5,4,0,Stabil,64.65
3.4,88,17,Tidak,Ya,0,84,0,5,0,Stabil,67.8
3.55,74,50,Tidak,Ya,4,89,19,5,0,Stabil,79.05
3.33,58,41,Tidak,Ya,0,83,14,6,0,Stabil,66.55
2.56,80,92,Ada,Ya,5,71,3,6,1,Stabil,62.6
2.59,74,24,Ada,Ya,5,52,18,1,0,Rentan,59.25
3.01,97,67,Ada,Tidak,3,83,6,1,0,Rentan,67.75
3.11,94,28,Tidak,Tidak,5,62,7,7,0,Stabil,69.05
3.95,57,91,Tidak,Tidak,5,72,4,5,0,Stabil,83.65
3.1,58,81,Ada,Ya,4,65,1,2,1,Rentan,67.5
2.7,80,98,Tidak,Ya,1,98,9,1,0,Stabil,62.1
3.78,61,42,Tidak,Ya,3,50,9,2,1,Rentan,72.69999999999999
2.63,79,22,Tidak,Tidak,2,50,10,8,0,Rentan,53.449999999999996
3.28,50,38,Tidak,Ya,2,65,14,7,0,Rentan,66.19999999999999
2.96,95,28,Tidak,Ya,5,90,9,1,0,Rentan,72.4
3.83,98,9,Ada,Tidak,5,83,14,3,0,Stabil,84.05
2.7,93,58,Ada,Ya,4,55,16,2,0,Stabil,59.5
3.31,50,69,Ada,Tidak,3,52,13,3,0,Rentan,66.05
2.95,91,48,Tidak,Ya,5,74,14,1,0,Stabil,69.05
2.96,98,29,Ada,Ya,1,79,17,2,0,Stabil,62.2
3.54,51,76,Ada,Tidak,4,54,3,4,1,Stabil,71.9
2.95,68,30,Ada,Tidak,0,86,19,1,0,Stabil,61.45
3.55,61,100,Tidak,Ya,4,53,11,5,1,Stabil,71.85
3.71,59,49,Tidak,Tidak,2,85,13,6,0,Stabil,76.65
2.96,93,61,Ada,Tidak,0,62,18,4,0,Rentan,56.8
3.53,94,48,Ada,Tidak,3,65,17,4,1,Rentan,71.94999999999999
3.53,73,2,Tidak,Tidak,2,52,18,6,0,Stabil,67.35
3.1,93,58,Tidak,Ya,4,98,15,5,0,Rentan,74.1
3.54,54,8,Ada,Tidak,4,76,4,3,0,Stabil,76.3
3.33,51,68,Ada,Tidak,3,50,0,3,0,Stabil,65.94999999999999
3.15,83,58,Tidak,Ya,1,67,12,5,0,Stabil,62.65
3.68,90,72,Ada,Ya,4,55,15,4,1,Rentan,74.19999999999999
2.72,52,9,Ada,Ya,4,51,6,1,0,Stabil,59.0
2.36,82,43,Tidak,Tidak,5,56,13,5,0,Stabil,56.6
3.91,93,91,Tidak,Ya,3,99,19,7,1,Stabil,84.45
3.37,98,71,Tidak,Ya,2,58,2,2,1,Rentan,66.15
2.97,76,73,Tidak,Ya,3,96,17,7,0,Stabil,69.75
3.03,80,76,Ada,Ya,2,66,7,3,1,Stabil,62.65
3.28,77,61,Ada,Ya,2,70,19,4,1,Stabil,67.19999999999999
3.66,67,87,Tidak,Ya,1,57,18,3,1,Stabil,68.3
3.01,58,9,Tidak,Tidak,3,66,4,1,0,Rentan,64.35
3.32,84,21,Ada,Tidak,2,99,7,8,0,Stabil,73.6
3.79,85,44,Ada,Ya,4,73,12,1,1,Stabil,79.45
2.93,72,5,Tidak,Ya,1,78,14,8,0,Rentan,61.55
3.18,77,50,Tidak,Ya,1,75,20,2,0,Rentan,64.69999999999999
3.71,54,33,Ada,Ya,5,73,10,1,1,Stabil,80.25
3.51,95,39,Tidak,Ya,1,93,4,8,0,Stabil,73.25
3.06,90,57,Ada,Ya,3,81,9,2,1,Rentan,68.1
3.38,81,97,Tidak,Ya,3,81,5,1,0,Stabil,72.89999999999999
3.23,57,69,Ada,Ya,3,99,17,4,0,Rentan,74.25
3.59,72,90,Ada,Ya,0,57,7,1,1,Stabil,65.25
3.78,70,17,Tidak,Ya,4,86,8,7,0,Rentan,81.89999999999999
3.58,93,48,Tidak,Ya,1,59,18,7,1,Rentan,67.5
3.16,96,27,Ada,Ya,0,90,11,2,0,Stabil,65.4
3.59,93,2,Ada,Ya,3,56,20,7,1,Stabil,71.05
2.35,73,80,Tidak,Ya,2,73,20,3,0,Stabil,53.85
2.99,93,88,Tidak,Ya,4,50,10,5,1,Rentan,62.85
3.58,98,56,Ada,Tidak,1,54,16,8,1,Rentan,66.5
2.97,74,31,Tidak,Ya,0,70,4,4,0,Stabil,58.55
3.48,100,67,Ada,Tidak,2,74,3,5,0,Stabil,71.0
3.15,99,5,Ada,Tidak,3,87,2,1,0,Rentan,70.65
3.67,59,19,Tidak,Ya,4,69,2,1,0,Stabil,76.85
3.01,77,15,Ada,Tidak,0,89,19,6,0,Rentan,62.95
3.15,58,34,Tidak,Tidak,2,99,0,1,0,Rentan,71.05
3.7,60,5,Tidak,Ya,4,86,3,2,1,Rentan,80.7
3.3,64,73,Tidak,Tidak,5,76,10,4,0,Stabil,74.7
3.32,68,25,Tidak,Tidak,0,55,17,6,0,Rentan,60.8
2.77,84,81,Ada,Tidak,1,50,13,5,0,Rentan,53.55
3.14,53,89,Ada,Ya,1,55,1,1,0,Stabil,60.1
3.33,53,50,Tidak,Tidak,0,65,9,6,0,Rentan,62.949999999999996
2.9,78,57,Tidak,Ya,1,76,3,6,0,Rentan,60.7
3.1,70,65,Ada,Tidak,4,95,7,5,0,Rentan,73.5
3.59,100,16,Ada,Ya,0,50,1,1,1,Rentan,63.85
3.46,91,6,Tidak,Ya,0,55,10,7,0,Rentan,62.9
3.75,67,82,Tidak,Ya,1,59,1,3,0,Stabil,70.05
2.51,83,44,Ada,Ya,1,74,11,5,0,Stabil,54.44999999999999
3.78,80,34,Tidak,Tidak,2,60,3,6,1,Rentan,72.69999999999999
3.59,87,63,Ada,Ya,5,86,18,1,1,Stabil,81.05
3.33,89,7,Ada,Ya,0,71,5,5,1,Rentan,64.14999999999999
3.35,71,81,Tidak,Tidak,3,58,5,3,0,Stabil,67.85
3.19,96,98,Tidak,Ya,1,61,0,8,0,Stabil,62.050000000000004
3.35,72,57,Tidak,Ya,5,90,2,1,0,Rentan,78.25
2.82,60,61,Tidak,Ya,3,74,11,1,0,Rentan,63.099999999999994
3.17,74,90,Ada,Ya,2,85,2,4,1,Rentan,68.55
3.58,96,73,Tidak,Tidak,3,69,7,7,0,Stabil,73.5
2.87,51,14,Ada,Tidak,3,90,9,8,0,Rentan,67.05
2.98,78,72,Ada,Ya,3,78,14,5,1,Rentan,66.3
2.63,74,50,Tidak,Ya,4,86,7,3,0,Stabil,64.64999999999999
3.12,93,40,Tidak,Ya,3,90,4,1,0,Stabil,70.8
2.92,89,13,Tidak,Tidak,0,76,4,2,0,Stabil,59.0
3.29,67,4,Tidak,Ya,3,89,19,2,0,Stabil,73.15
3.45,81,99,Ada,Ya,2,58,9,7,1,Rentan,67.35
3.5,73,17,Ada,Ya,3,54,9,5,1,Rentan,69.3
3.09,67,87,Tidak,Ya,2,82,12,1,0,Rentan,66.75
2.28,94,28,Ada,Ya,2,51,12,1,0,Stabil,48.4
3.43,50,54,Ada,Tidak,5,88,9,4,0,Stabil,79.05
3.32,82,35,Tidak,Tidak,4,69,3,7,0,Rentan,71.6
3.81,70,53,Ada,Tidak,4,91,15,6,0,Stabil,83.35
2.22,92,60,Tidak,Ya,3,60,17,7,0,Rentan,51.300000000000004
3.13,97,59,Tidak,Tidak,1,100,10,3,0,Stabil,68.94999999999999
3.18,53,18,Ada,Tidak,4,62,10,2,0,Rentan,68.1
2.89,98,81,Ada,Ya,3,81,2,6,1,Stabil,65.55
3.06,98,28,Ada,Ya,0,93,0,7,0,Stabil,64.5
4.0,79,45,Tidak,Tidak,2,93,4,6,0,Stabil,82.6
3.61,82,81,Ada,Ya,5,73,20,4,1,Stabil,78.75
2.85,94,84,Ada,Ya,4,94,20,1,0,Rentan,69.55
2.65,81,45,Ada,Ya,0,99,8,2,1,Rentan,59.55
2.94,55,92,Ada,Ya,0,59,2,7,0,Stabil,55.900000000000006
3.01,73,1,Tidak,Tidak,0,97,3,2,0,Stabil,64.55
3.22,75,14,Tidak,Tidak,1,74,15,3,0,Stabil,65.1
2.87,74,14,Tidak,Ya,3,93,4,3,0,Rentan,67.65
2.97,86,55,Ada,Tidak,5,83,16,7,0,Rentan,71.15
3.5,80,35,Tidak,Tidak,1,54,15,4,0,Stabil,65.3
2.53,81,13,Tidak,Tidak,3,57,15,1,0,Stabil,55.349999999999994
3.42,91,42,Tidak,Tidak,4,73,1,7,0,Stabil,73.9
3.31,68,13,Tidak,Ya,5,52,5,8,0,Rentan,70.05
2.1,90,63,Ada,Ya,3,79,18,5,0,Stabil,53.3
2.59,61,64,Ada,Tidak,1,74,19,1,0,Stabil,55.650000000000006
3.52,88,26,Tidak,Ya,1,95,17,7,0,Rentan,73.8
3.14,98,86,Tidak,Tidak,2,87,18,5,1,Rentan,68.5
3.04,100,88,Ada,Tidak,1,93,8,5,0,Stabil,66.2
2.96,97,48,Tidak,Tidak,4,82,9,5,0,Rentan,68.8
3.5,90,87,Tidak,Ya,3,99,6,7,1,Stabil,78.3
3.43,66,76,Ada,Ya,1,79,4,3,0,Rentan,69.25
3.12,100,28,Ada,Ya,1,84,17,1,0,Stabil,65.6
3.23,92,5,Tidak,Ya,5,65,20,4,1,Stabil,71.44999999999999
3.14,73,41,Tidak,Ya,4,52,9,6,0,Rentan,65.5
3.07,77,95,Ada,Tidak,1,84,13,2,0,Stabil,64.85
3.07,64,40,Tidak,Tidak,4,74,14,3,0,Stabil,68.85
3.09,54,97,Tidak,Tidak,4,68,9,1,0,Stabil,67.95
3.58,90,70,Ada,Tidak,4,93,20,8,1,Rentan,80.3
3.62,76,24,Ada,Tidak,5,61,7,3,0,Stabil,76.5
2.86,56,12,Ada,Ya,5,71,11,2,0,Rentan,67.1
3.56,86,100,Tidak,Ya,4,77,5,5,0,Stabil,76.8
3.24,69,17,Tidak,Ya,3,61,20,4,0,Stabil,66.80000000000001
3.34,99,83,Ada,Tidak,4,85,8,4,1,Rentan,75.1
3.03,65,94,Ada,Ya,4,78,5,6,1,Stabil,69.05
2.76,100,83,Tidak,Ya,1,80,14,6,0,Stabil,59.4
2.87,74,66,Tidak,Ya,1,83,8,6,0,Stabil,61.65
3.71,54,84,Tidak,Tidak,3,59,5,7,0,Stabil,73.45
3.02,51,80,Ada,Ya,5,58,18,4,1,Rentan,66.9
3.59,96,61,Tidak,Ya,0,63,14,1,1,Rentan,66.45
3.59,88,25,Ada,Tidak,2,74,12,4,1,Rentan,72.65
2.78,55,66,Tidak,Tidak,4,88,17,7,0,Rentan,67.3
2.99,98,10,Ada,Ya,4,58,8,7,0,Stabil,64.45
3.27,63,33,Tidak,Ya,0,73,3,5,0,Rentan,63.65
4.0,85,94,Tidak,Ya,1,69,18,7,1,Stabil,75.8
3.29,93,18,Ada,Ya,4,74,20,2,0,Rentan,72.15
3.38,83,1,Tidak,Tidak,3,99,5,8,0,Rentan,76.5
3.84,50,51,Ada,Tidak,2,67,12,4,0,Stabil,75.0
3.0,67,22,Ada,Ya,4,79,12,4,1,Rentan,68.8
4.0,78,87,Tidak,Tidak,4,99,7,2,0,Stabil,87.8
3.41,70,31,Tidak,Ya,5,83,17,8,0,Rentan,77.75
2.8,97,33,Ada,Ya,4,97,6,5,0,Stabil,69.4
2.54,92,47,Tidak,Ya,0,98,17,4,0,Rentan,57.7
3.07,83,87,Tidak,Ya,4,84,1,6,1,Stabil,70.85
3.87,73,78,Tidak,Ya,4,85,8,8,0,Stabil,83.05
3.2,61,48,Ada,Ya,3,56,8,6,0,Stabil,65.2
2.67,96,50,Tidak,Ya,5,69,8,4,0,Rentan,63.849999999999994
3.09,85,73,Tidak,Ya,2,51,13,2,1,Rentan,60.550000000000004
2.76,59,9,Ada,Ya,2,76,20,3,0,Stabil,60.6
3.21,78,16,Tidak,Tidak,3,76,5,2,0,Stabil,69.35
3.19,51,83,Tidak,Ya,3,56,8,4,1,Rentan,65.05000000000001
4.0,72,17,Tidak,Tidak,0,79,17,5,0,Stabil,75.8
2.76,64,38,Ada,Ya,2,69,11,3,0,Stabil,59.2
2.14,80,0,Tidak,Tidak,3,99,13,1,0,Rentan,57.900000000000006
3.64,64,36,Tidak,Tidak,3,77,20,6,0,Stabil,76.0
3.32,89,23,Tidak,Ya,3,70,0,5,1,Rentan,69.8
3.1,69,7,Tidak,Ya,1,79,1,5,0,Stabil,64.3
2.76,95,25,Ada,Tidak,0,99,14,5,0,Stabil,61.2
3.9,52,6,Ada,Tidak,1,80,20,8,0,Rentan,76.5
3.57,50,31,Ada,Ya,3,94,19,4,0,Stabil,78.35
3.71,56,56,Ada,Tidak,5,64,10,3,0,Stabil,78.45
3.49,84,93,Tidak,Ya,3,86,5,4,0,Stabil,75.55
2.75,79,99,Ada,Ya,2,96,5,8,0,Stabil,64.45
2.99,68,5,Tidak,Ya,4,91,10,4,0,Stabil,71.05
3.4,83,1,Tidak,Ya,3,73,7,3,0,Rentan,71.6
3.53,100,9,Ada,Tidak,3,83,1,4,1,Rentan,75.55
2.82,85,89,Tidak,Ya,5,99,20,2,0,Stabil,72.1
3.44,72,92,Tidak,Ya,4,73,13,7,0,Rentan,74.2
3.08,50,0,Ada,Tidak,3,88,0,6,0,Rentan,69.8
3.33,59,46,Ada,Ya,4,79,11,5,1,Stabil,73.75
2.7,100,76,Tidak,Ya,0,81,18,4,0,Stabil,56.7
2.92,57,67,Ada,Tidak,3,90,20,5,0,Stabil,67.8
2.64,78,16,Ada,Ya,5,77,9,1,0,Rentan,65.0
2.37,58,71,Tidak,Ya,5,81,12,6,0,Rentan,61.75
3.88,62,21,Tidak,Tidak,3,88,20,4,0,Stabil,81.8
3.18,57,1,Ada,Ya,5,89,4,6,0,Stabil,75.5
3.64,66,32,Tidak,Ya,4,94,0,6,0,Stabil,81.4
3.32,92,29,Tidak,Ya,5,51,9,3,0,Stabil,70.0
2.52,95,50,Ada,Ya,3,65,16,7,0,Stabil,56.8
2.68,53,19,Tidak,Tidak,4,51,17,3,0,Stabil,58.4
3.24,76,57,Ada,Tidak,5,77,9,6,1,Rentan,74.0
2.55,77,23,Ada,Tidak,4,70,2,3,0,Stabil,60.24999999999999
3.42,67,77,Ada,Tidak,5,56,4,6,0,Stabil,72.5
3.85,91,24,Tidak,Ya,4,74,15,4,1,Rentan,80.55
3.83,78,77,Tidak,Tidak,1,79,7,1,1,Rentan,75.25
2.95,52,24,Ada,Ya,3,97,1,6,0,Stabil,69.65
3.21,59,50,Tidak,Ya,0,55,16,5,0,Stabil,59.15
2.63,94,10,Ada,Tidak,0,55,3,7,0,Rentan,50.449999999999996
3.43,59,36,Ada,Tidak,1,76,9,7,0,Stabil,68.64999999999999
2.81,50,52,Tidak,Ya,3,63,18,3,0,Rentan,60.75
3.62,59,42,Ada,Ya,1,52,4,8,1,Rentan,66.7
2.97,85,11,Ada,Tidak,4,97,18,1,0,Rentan,71.95
3.25,94,78,Tidak,Ya,3,83,13,5,0,Stabil,71.35
3.06,88,16,Tidak,Tidak,5,83,18,1,0,Stabil,72.5
3.3,90,44,Ada,Ya,0,89,13,8,0,Rentan,67.3
2.95,71,22,Tidak,Ya,0,96,18,4,0,Stabil,63.45
3.92,84,66,Tidak,Ya,3,100,13,4,1,Stabil,84.8
2.49,74,90,Ada,Ya,0,61,19,6,0,Stabil,49.550000000000004
3.66,61,56,Ada,Tidak,1,100,1,6,0,Rentan,76.9
3.17,56,0,Ada,Ya,2,96,1,1,0,Rentan,70.75
3.45,86,68,Tidak,Tidak,5,70,6,5,1,Rentan,75.75
3.42,72,9,Tidak,Ya,0,59,9,8,0,Rentan,63.099999999999994
3.63,77,78,Tidak,Ya,3,95,19,5,1,Rentan,79.44999999999999
3.53,79,78,Tidak,Tidak,5,80,7,5,0,Stabil,78.94999999999999
3.25,79,65,Ada,Ya,0,99,11,5,0,Stabil,68.55
3.18,76,8,Ada,Ya,3,85,5,2,1,Rentan,70.69999999999999
3.47,95,56,Tidak,Ya,5,87,19,4,0,Stabil,79.45
2.64,91,96,Ada,Tidak,3,63,4,3,1,Rentan,58.2
3.4,100,78,Tidak,Tidak,2,95,11,3,0,Stabil,74.0
2.78,68,91,Ada,Ya,2,77,18,7,1,Rentan,61.099999999999994
3.71,59,18,Tidak,Ya,2,58,0,7,0,Rentan,71.25
3.78,77,49,Ada,Tidak,5,82,13,8,1,Rentan,83.1
3.28,86,14,Tidak,Ya,3,52,18,4,1,Rentan,65.6
3.23,80,60,Ada,Ya,4,89,1,8,1,Stabil,74.25
3.63,86,84,Tidak,Ya,2,90,15,8,1,Stabil,76.44999999999999
4.0,50,22,Ada,Tidak,2,87,4,1,1,Rentan,81.4
3.05,59,92,Tidak,Tidak,4,99,12,4,0,Stabil,73.55
3.03,80,60,Tidak,Ya,1,97,17,3,0,Stabil,66.85
3.09,52,42,Ada,Ya,4,77,19,5,0,Stabil,69.75
2.8,87,86,Ada,Tidak,1,93,5,5,0,Rentan,62.6
2.89,52,76,Ada,Ya,2,53,19,1,1,Rentan,57.95
3.19,66,98,Tidak,Tidak,0,92,2,2,0,Rentan,66.25
3.29,66,78,Ada,Tidak,2,54,15,7,1,Rentan,64.15
3.13,56,2,Ada,Ya,3,54,18,3,0,Stabil,63.75
2.87,82,69,Tidak,Tidak,3,77,12,8,0,Rentan,64.44999999999999
3.27,53,97,Ada,Ya,5,84,10,4,0,Stabil,75.85
3.4,72,4,Tidak,Ya,0,90,14,5,0,Rentan,69.0
2.99,78,51,Ada,Tidak,3,71,1,4,0,Rentan,65.05000000000001
2.96,59,1,Tidak,Ya,0,80,19,2,0,Stabil,60.4
3.77,88,41,Ada,Ya,0,62,13,3,1,Rentan,68.95
2.97,76,17,Ada,Ya,2,85,5,3,0,Rentan,65.55
3.28,68,66,Tidak,Tidak,5,94,4,2,0,Rentan,78.0
2.59,90,15,Tidak,Tidak,4,76,0,8,0,Rentan,62.050000000000004
3.05,57,6,Ada,Tidak,2,81,5,2,0,Stabil,65.95
3.43,100,92,Ada,Tidak,4,82,3,6,1,Rentan,75.85
3.13,74,18,Ada,Ya,3,80,18,6,0,Stabil,68.94999999999999
2.88,58,58,Ada,Ya,2,67,4,4,0,Stabil,60.599999999999994
2.99,86,75,Ada,Tidak,4,76,16,7,1,Rentan,68.05000000000001
3.29,86,54,Ada,Ya,4,52,1,8,1,Stabil,67.75
3.47,63,2,Ada,Tidak,5,68,7,7,0,Rentan,75.65
3.94,95,80,Tidak,Tidak,3,100,11,8,1,Stabil,85.1
3.53,55,49,Tidak,Ya,1,82,11,7,0,Stabil,71.35
3.4,58,96,Tidak,Ya,5,84,3,6,0,Stabil,77.8
3.05,82,57,Ada,Ya,2,95,17,4,1,Rentan,68.75
2.87,67,37,Ada,Ya,0,81,4,6,0,Stabil,59.25
3.28,64,62,Tidak,Ya,0,87,10,7,0,Stabil,66.6
3.22,99,79,Ada,Ya,2,72,9,8,1,Rentan,66.69999999999999
3.08,73,18,Ada,Ya,1,85,1,5,0,Rentan,65.19999999999999
3.29,79,82,Tidak,Ya,3,50,17,6,1,Rentan,65.35
3.27,80,51,Ada,Ya,5,93,17,5,1,Rentan,77.65
3.36,55,77,Tidak,Ya,2,82,12,4,0,Stabil,70.8
3.05,85,56,Ada,Ya,2,96,14,1,0,Stabil,68.95
3.27,80,81,Tidak,Ya,1,87,12,5,0,Stabil,68.45
3.35,52,3,Tidak,Tidak,2,81,17,5,0,Stabil,70.45
2.99,91,76,Ada,Ya,3,57,8,1,0,Stabil,62.25
3.15,86,59,Ada,Tidak,2,60,18,6,1,Rentan,63.25
2.39,90,76,Ada,Ya,2,99,20,3,1,Stabil,59.650000000000006
2.71,59,52,Ada,Ya,4,83,9,6,0,Stabil,65.25
3.13,83,2,Ada,Ya,5,79,2,6,1,Rentan,72.75
3.65,51,16,Ada,Tidak,1,58,4,6,0,Rentan,68.35
3.72,56,8,Ada,Ya,3,80,3,4,0,Stabil,77.8
3.46,59,64,Tidak,Ya,2,72,5,5,0,Rentan,70.3
3.16,96,56,Ada,Ya,4,82,15,2,1,Rentan,71.8
